"term"	"estimate"	"std.error"	"statistic"	"p.value"	"s.value"	"conf.low"	"conf.high"	"outcome"	"p.corrected"
"1"	"score_animal"	-0.00305656703423028	0.00187023844063976	-1.63431943639481	0.102191794613335	3.29064873369884	-0.00672216702038655	0.000609032951925994	"log_favorites"	0.408767178453339
"2"	"score_commodity"	-0.00921410915945206	0.00159257365556129	-5.78567222136087	7.22229225518274e-09	27.0448960528396	-0.0123354961670795	-0.00609272215182464	"log_favorites"	9.38897993173756e-08
"3"	"score_parasite"	0.0173575413090941	0.00212569215049104	8.16559505339681	3.19854561368426e-16	51.4734334608631	0.0131912612519121	0.021523821366276	"log_favorites"	4.47796385915796e-15
"4"	"score_pressure"	-0.00382376135769528	0.00168566247701597	-2.26840272583173	0.023304671791633	5.42323699476604	-0.00712759910273715	-0.000519923612653407	"log_favorites"	0.163132702541431
"5"	"score_vermin"	-0.00150917856109449	0.00224357153159549	-0.672667904651676	0.501158590727109	0.996660880987143	-0.00590649795976101	0.00288814083757203	"log_favorites"	1
"6"	"score_war"	-0.00690521723743874	0.00161304213746791	-4.280865996643	1.86167438808624e-05	15.7130397107624	-0.0100667217324214	-0.00374371274245612	"log_favorites"	0.000186167438808624
"7"	"score_water"	0.000591622942958761	0.00171669449552231	0.344629137276262	0.730373197887294	0.453294270398406	-0.00277303644072313	0.00395628232664065	"log_favorites"	1
"8"	"score_animal"	0.00477493122068396	0.00150279712087827	3.17736250246033	0.00148621143247503	9.3941449124701	0.00182950298769207	0.00772035945367586	"log_retweets"	0.0118896914598003
"9"	"score_commodity"	-0.00447936187024906	0.00127969447004198	-3.5003369750454	0.00046467036019688	11.071504756566	-0.00698751694274641	-0.00197120679775171	"log_retweets"	0.00418203324177192
"10"	"score_parasite"	0.00871509742336548	0.00170807540296179	5.10229080534358	3.35566584843702e-07	21.5068976024279	0.00536733115068163	0.0120628636960493	"log_retweets"	3.69123243328072e-06
"11"	"score_pressure"	0.00252889691286298	0.00135450062444712	1.86703266666653	0.0618970261813252	4.01398609239522	-0.000125875528090374	0.00518366935381634	"log_retweets"	0.371382157087951
"12"	"score_vermin"	0.00976268687349313	0.0018027927251094	5.41531299606319	6.11815858629472e-08	23.9623272562081	0.00622927806068788	0.0132960956862984	"log_retweets"	7.34179030355366e-07
"13"	"score_war"	0.00098566444437584	0.00129613303017001	0.760465493458301	0.446976387798227	1.16172947400709	-0.00155470961393015	0.00352603850268183	"log_retweets"	1
"14"	"score_water"	-0.00243942438412983	0.00137942901607433	-1.76843052864881	0.0769889566461266	3.69920467038895	-0.00514305557486504	0.000264206806605371	"log_retweets"	0.384944783230633
