"term"	"contrast"	"estimate"	"std.error"	"statistic"	"p.value"	"s.value"	"conf.low"	"conf.high"	"concept"	"p.corrected"
"1"	"ideology"	"1 - 0"	0.0089714141859937	0.000261487709155704	34.3091238015002	5.73688035504365e-258	854.537182050624	0.00845890769364864	0.00948392067833877	"animal"	1.7210641065131e-257
"2"	"magnitude"	"dY/dX"	0.00180045039078629	0.000155738652898906	11.5607163492997	6.51629053445071e-31	100.275720012404	0.00149520824010365	0.00210569254146892	"animal"	6.51629053445071e-31
"3"	"ideology"	"1 - 0"	0.0080443916249838	0.000303527425347093	26.5030140712484	8.94722588632137e-155	511.73741426767	0.00744948880298333	0.00863929444698427	"commodity"	8.94722588632137e-155
"4"	"magnitude"	"dY/dX"	0.000348400336605659	0.000180777167101529	1.92723639932906	0.0539501756674017	4.21222853248819	-5.91640014051649e-06	0.000702717073351834	"commodity"	0.0539501756674017
"5"	"ideology"	"1 - 0"	0.00851646252348365	0.000188538906253414	45.1708493102041	0	Inf	0.00814693305754238	0.00888599198942491	"parasite"	0
"6"	"magnitude"	"dY/dX"	0.00188726799645441	0.000112305841661953	16.8047179783861	2.25381960664381e-63	208.10909792957	0.00166715259154352	0.00210738340136529	"parasite"	2.25381960664381e-63
"7"	"ideology"	"1 - 0"	0.00936112168171511	0.000238550670887947	39.2416489413784	0	Inf	0.00889357095828686	0.00982867240514335	"pressure"	0
"8"	"magnitude"	"dY/dX"	0.001564491937912	0.000142076391893814	11.0116249227478	3.3589031539547e-28	91.2659964573808	0.00128602732674673	0.00184295654907727	"pressure"	3.3589031539547e-28
"9"	"ideology"	"1 - 0"	0.00700530746658284	0.000181162432102684	38.6686543411616	0	Inf	0.0066502356243099	0.00736037930885579	"vermin"	0
"10"	"magnitude"	"dY/dX"	0.00127585264393803	0.000107897257696006	11.8246994518866	2.90942145072156e-32	104.760966740017	0.00106437790482322	0.00148732738305284	"vermin"	2.90942145072156e-32
"11"	"ideology"	"1 - 0"	0.0111021955298835	0.000386244122163913	28.7439857147444	1.076933710495e-181	601.162055725551	0.0103451709612019	0.0118592200985651	"war"	2.15386742099e-181
"12"	"magnitude"	"dY/dX"	0.0019053429460934	0.000230039819814229	8.28266579078388	1.20448099994387e-16	52.8824378821996	0.00145447318424743	0.00235621270793937	"war"	1.20448099994387e-16
"13"	"ideology"	"1 - 0"	0.0126969588982698	0.000268635822854213	47.2645783550629	0	Inf	0.0121704423605182	0.0132234754360213	"water"	0
"14"	"magnitude"	"dY/dX"	-0.000306051983129096	0.000159994643204148	-1.9128889380289	0.055762272015262	4.16456684524031	-0.000619635721528562	7.5317552703703e-06	"water"	0.055762272015262
"15"	"ideology"	"1 - 0"	0.0767156420444794	0.000950382310737178	80.720822744453	0	Inf	0.0748529269438905	0.0785783571450682	"overall"	0
"16"	"magnitude"	"dY/dX"	0.00656140358991404	0.00056603328556055	11.5919041464429	4.529494481406e-31	100.800420895622	0.00545199873616449	0.0076708084436636	"overall"	4.529494481406e-31
