"term"	"ideology"	"estimate"	"std.error"	"statistic"	"p.value"	"s.value"	"conf.low"	"conf.high"	"concept"
"1"	"magnitude"	0	0.000469393951492665	0.000331173526632704	1.41736556138818	0.156376076043845	2.67690828309242	-0.00017969423334055	0.00111848213632588	"animal"
"2"	"magnitude"	1	0.0026669355487184	0.000134724390083476	19.7954917225155	3.25559614422298e-87	287.304822510407	0.00240288059631566	0.00293099050112114	"animal"
"3"	"magnitude"	0	-0.00121121630432736	0.000384416326015562	-3.15079309165014	0.00162827795183337	9.26243729175096	-0.00196465845838707	-0.000457774150267651	"commodity"
"4"	"magnitude"	1	0.00136367259068796	0.000156384870450114	8.71997774952894	2.7825646561233e-18	58.31829049732	0.00105716387687878	0.00167018130449715	"commodity"
"5"	"magnitude"	0	0.000757058521632355	0.000238818768318865	3.17001267095369	0.00152432290245274	9.35761573850899	0.000288982336895165	0.00122513470636955	"parasite"
"6"	"magnitude"	1	0.00262300669721699	9.71400956583039e-05	27.0023071260252	1.38852122537815e-160	531.034945951156	0.00243261560827194	0.00281339778616204	"parasite"
"7"	"magnitude"	0	-1.88347558054717e-05	0.000302124283432007	-0.0623410855675574	0.950291210536031	0.0735584092154933	-0.000610987470187176	0.000573317958576233	"pressure"
"8"	"magnitude"	1	0.0025951988559387	0.000122907519096289	21.1150536193441	5.78443947112827e-99	326.338704229054	0.0023543045450808	0.00283609316679659	"pressure"
"9"	"magnitude"	0	0.000333919145895736	0.00022944273734366	1.45534850987936	0.145572803354218	2.78018724574463	-0.00011578035581212	0.000783618647603592	"vermin"
"10"	"magnitude"	1	0.00188902829278269	9.33390856290166e-05	20.2383415270509	4.50060840480828e-91	300.125336592581	0.00170608704659991	0.00207196953896546	"vermin"
"11"	"magnitude"	0	-0.000158565910736465	0.000489176348098706	-0.324148768338386	0.745825406623886	0.423090151374672	-0.00111733393509876	0.000800202113625827	"war"
"12"	"magnitude"	1	0.00324889708773204	0.000199002823497056	16.3258843801284	6.45977624660426e-60	196.624201499453	0.00285885872085603	0.00363893545460805	"war"
"13"	"magnitude"	0	-0.00127045962206307	0.000340226741910254	-3.73415568373574	0.000188345966254684	12.3743272436715	-0.00193729178278457	-0.000603627461341564	"water"
"14"	"magnitude"	1	0.000321753781272681	0.000138408231027432	2.3246723036935	0.0200894893361008	5.63741529776118	5.04786332950162e-05	0.000593028929250346	"water"
"15"	"magnitude"	0	-0.00621578524843762	0.00120365786257589	-5.16407979517995	2.41624612883968e-07	21.9807292431701	-0.00857491130879482	-0.00385665918808042	"overall"
"16"	"magnitude"	1	0.0148790407401486	0.000489660719880022	30.3864290846003	8.30095076101857e-203	671.298126675115	0.0139193233645398	0.0158387581157574	"overall"
