"term"	"ideology"	"estimate"	"std.error"	"statistic"	"p.value"	"s.value"	"conf.low"	"conf.high"	"concept"
"1"	"magnitude"	0	0.00140236987625127	0.00034285441956531	4.09027796120951	4.30856514919818e-05	14.5024329756063	0.000730387561962874	0.00207435219053966	"animal"
"2"	"magnitude"	1	0.00401317224521099	0.000139218138220371	28.8265041934297	9.98529581547382e-183	604.593036196088	0.00374030970830434	0.00428603478211763	"animal"
"3"	"magnitude"	0	-0.00189733547714508	0.00039342012299015	-4.82267013370992	1.41649118659033e-06	19.4292469440303	-0.00266842474899909	-0.00112624620529107	"commodity"
"4"	"magnitude"	1	0.00140269982990749	0.000159751020337075	8.78053753239133	1.62695210796521e-18	59.0925339244593	0.0010895935835533	0.00171580607626169	"commodity"
"5"	"magnitude"	0	0.00205531358882738	0.00024790608175668	8.29069450117272	1.12589120375898e-16	52.9797820934269	0.00156942659703585	0.00254120058061891	"parasite"
"6"	"magnitude"	1	0.00350025198328501	0.000100663347439413	34.7718615794267	6.47821873912535e-265	877.615347963137	0.00330295544774051	0.0036975485188295	"parasite"
"7"	"magnitude"	0	-0.000770310817889851	0.000309283406320271	-2.49063092991214	0.0127516502843918	6.29317222088358	-0.00137649515529345	-0.000164126480486253	"pressure"
"8"	"magnitude"	1	0.00304522205279458	0.000125585710227919	24.2481572725747	6.9148478818795e-130	429.060954821143	0.00279907858377497	0.00329136552181418	"pressure"
"9"	"magnitude"	0	0.0011040572220404	0.000239810305047711	4.60387730969588	4.1469682835188e-06	17.8795115559325	0.000634037661025325	0.00157407678305548	"vermin"
"10"	"magnitude"	1	0.00290916246549059	9.73760917158124e-05	29.8755311928193	4.09205704770799e-196	649.065080339968	0.00271830883277233	0.00310001609820885	"vermin"
"11"	"magnitude"	0	-0.000115693898793789	0.000515287058141535	-0.224523199187376	0.822350217321196	0.282175164253568	-0.00112563797445079	0.000894250176863217	"war"
"12"	"magnitude"	1	0.00516690570103082	0.00020923483968044	24.6942894831574	1.23175422951442e-134	444.837650289419	0.00475681295094615	0.0055769984511155	"war"
"13"	"magnitude"	0	-0.00241593099253307	0.000345724836688012	-6.98801687398941	2.78798864762944e-12	38.3839124519191	-0.00309353922100256	-0.00173832276406357	"water"
"14"	"magnitude"	1	0.000757163227393328	0.000140383428223674	5.39353709318834	6.90840561999685e-08	23.7870719673759	0.000482016764048664	0.00103230969073799	"water"
"15"	"magnitude"	0	-0.0101364007433352	0.00123370217998967	-8.21624611494169	2.09972314185137e-16	52.0806504037396	-0.0125544125837635	-0.00771838890290692	"overall"
"16"	"magnitude"	1	0.0177545494033828	0.000500952488668121	35.4415833936401	3.9099014172053e-275	911.563093861608	0.0167727005676276	0.018736398239138	"overall"
