"term"	"ideology"	"estimate"	"std.error"	"statistic"	"p.value"	"s.value"	"conf.low"	"conf.high"	"outcome"	"p.corrected"
"1"	"score_animal"	0	-0.00518783431421708	0.00316957997984022	-1.63675766101936	0.101681115553132	3.29787633140134	-0.0114000969208231	0.00102442829238894	"log_favorites"	1
"2"	"score_animal"	1	-0.00166916420803987	0.00229601175558707	-0.726984173307543	0.467235651109303	1.09777773566025	-0.00616926455707111	0.00283093614099137	"log_favorites"	1
"3"	"score_commodity"	0	-0.0152893629454901	0.0028852147531545	-5.29921141182775	1.16303905152173e-07	23.0355971250179	-0.0209442799493365	-0.00963444594164365	"log_favorites"	3.14020543910867e-06
"4"	"score_commodity"	1	-0.00525926766597907	0.00183257394375618	-2.86988019441075	0.00410627349590397	7.92795456417028	-0.00885104659474771	-0.00166748873721042	"log_favorites"	0.0739129229262714
"5"	"score_parasite"	0	0.0381820161238957	0.00398869031807121	9.57256971064107	1.04280933401261e-21	69.7000145912678	0.0303643267549926	0.0459997054927989	"log_favorites"	2.9198661352353e-20
"6"	"score_parasite"	1	0.00380131798445984	0.00234942654701718	1.61797694389977	0.105667566551572	3.24239546892873	-0.000803473432016136	0.00840610940093582	"log_favorites"	1
"7"	"score_pressure"	0	-0.00748493430944013	0.00320428920198652	-2.33591097357872	0.0194958819224815	5.6806867713094	-0.0137652257413843	-0.00120464287749596	"log_favorites"	0.288655708305818
"8"	"score_pressure"	1	-0.00144042739103571	0.00184201707537547	-0.781983734185579	0.434224132930137	1.20348818585942	-0.00505071451767943	0.00216985973560801	"log_favorites"	1
"9"	"score_vermin"	0	-0.00474578960436187	0.00385649211804759	-1.23059751170048	0.218473436359954	2.19447021818886	-0.0123043752623977	0.00281279605367399	"log_favorites"	1
"10"	"score_vermin"	1	0.000597775996353634	0.00271741880681653	0.219979340267366	0.825887244695223	0.275983265570726	-0.00472826699591857	0.00592381898862584	"log_favorites"	1
"11"	"score_war"	0	-0.0145187442732857	0.00294440765099513	-4.93095589816809	8.18282081189788e-07	20.2208984041965	-0.0202896772250403	-0.00874781132153106	"log_favorites"	2.12753341109345e-05
"12"	"score_war"	1	-0.00194899751502243	0.00184247142421585	-1.05781695683661	0.290138900566205	1.7851843560853	-0.00556017514902971	0.00166218011898486	"log_favorites"	1
"13"	"score_water"	0	-0.0104288034557534	0.00331084750827296	-3.14988939529667	0.00163332284959171	9.25797429629249	-0.0169179453302726	-0.00393966158123423	"log_favorites"	0.0310331341422426
"14"	"score_water"	1	0.00776565075025065	0.00183635583486184	4.22883768103414	2.34901741355983e-05	15.3775830661683	0.00416645945112146	0.0113648420493798	"log_favorites"	0.000540274005118761
"15"	"score_animal"	0	0.010110420070772	0.0025468745279256	3.96973622371841	7.19522417395441e-05	13.7626008382545	0.00511863772289536	0.0151022024186486	"log_retweets"	0.00158294931826997
"16"	"score_animal"	1	0.0013016585911875	0.00184493175753211	0.705532107555391	0.480479158102988	1.057454242772	-0.00231434120750961	0.00491765838988461	"log_retweets"	1
"17"	"score_commodity"	0	-0.00542680320641658	0.00231837793518016	-2.34077590373325	0.0192437138870546	5.699468934878	-0.00997074046192204	-0.000882865950911125	"log_retweets"	0.288655708305818
"18"	"score_commodity"	1	-0.00386260075361588	0.00147254273238126	-2.62308228391418	0.00871382247443315	6.8424785629472	-0.00674873147477936	-0.000976470032452399	"log_retweets"	0.13942115959093
"19"	"score_parasite"	0	0.0156970933780167	0.00320506641911411	4.89758754589411	9.70204131775346e-07	19.9752083407094	0.0094152786284943	0.0219789081275391	"log_retweets"	2.42551032943836e-05
"20"	"score_parasite"	1	0.00416998897502807	0.00188785389832863	2.20885153174188	0.0271849693660539	5.2010469873686	0.000469863326230415	0.00787011462382573	"log_retweets"	0.353404601758701
"21"	"score_pressure"	0	0.00558037998572057	0.00257476159457375	2.16733852077066	0.0302090513264039	5.04887531084567	0.000533939991579106	0.010626819979862	"log_retweets"	0.362508615916846
"22"	"score_pressure"	1	0.000542456132248635	0.00148013421873245	0.366491177207687	0.713998594931087	0.486006859691738	-0.00235855362875229	0.00344346589324956	"log_retweets"	1
"23"	"score_vermin"	0	0.0121757764022614	0.00309883858625317	3.92914185859008	8.52495400315492e-05	13.5179484244172	0.0061021643793022	0.0182493884252206	"log_retweets"	0.00179024034066253
"24"	"score_vermin"	1	0.0081918246623094	0.00218354919570913	3.75160984621141	0.000175702741065229	12.4745756811436	0.00391214688024809	0.0124715024443707	"log_retweets"	0.00351405482130458
"25"	"score_war"	0	0.000294604373425087	0.00236593516719577	0.124519208095743	0.900904192873676	0.150554404847808	-0.00434254334403537	0.00493175209088554	"log_retweets"	1
"26"	"score_war"	1	0.00143552763352514	0.00148049411848957	0.969627380208501	0.332232260004629	1.58973592800181	-0.0014661875180378	0.00433724278508808	"log_retweets"	1
"27"	"score_water"	0	-0.0122185139108116	0.00266038535111471	-4.59276093431051	4.37420058122488e-06	17.8025491918957	-0.0174327733839944	-0.00700425443762882	"log_retweets"	0.000104980813949397
"28"	"score_water"	1	0.00392652350719769	0.00147558180055532	2.66100022765257	0.00779089044478893	7.00399605690587	0.0010344363218665	0.00681861069252887	"log_retweets"	0.132445137561412
